lemma,role,eligible_control,family,pool,holdout,drop,metric,reference,features,ones,n_pronoun,n_compound,draws,d_pronoun,d_pronoun_percentile,d_pronoun_percentile_mcse,d_pronoun_lower_tail,d_pronoun_null_q025,d_pronoun_null_median,d_pronoun_null_q975,d_compound,d_compound_percentile,d_compound_percentile_mcse,d_compound_lower_tail,d_compound_null_q025,d_compound_null_median,d_compound_null_q975,delta,delta_percentile,delta_percentile_mcse,delta_lower_tail,delta_null_q025,delta_null_median,delta_null_q975
nothing,compound_anchor,True,C:no,full,item,none,jaccard,fixed_total,154,29,41,15,20000,0.8067725810655894,0.00505,0.000501235909399799,0.0050997450127493625,0.8290777798663936,0.8929232262324053,0.9438932949756937,0.4710623302535067,0.0,0.0,4.999750012499375e-05,0.8318520064204178,0.9017492450868523,0.9564132614708607,0.33571025081208267,1.0,0.0,1.0,-0.07810955377936647,-0.008928653664466712,0.06076740622488036
nowhere,compound_anchor,True,C:no,full,item,none,jaccard,fixed_total,154,22,41,15,20000,0.8584330825097515,0.05295,0.0015834898948248297,0.052997350132493376,0.8460701057741972,0.9103865330808051,0.9590939115089996,0.5444666072252279,0.0,0.0,4.999750012499375e-05,0.844523836663507,0.9158793788656646,0.9690305467564877,0.3139664752845236,1.0,0.0,1.0,-0.0733129910386463,-0.005926043822449656,0.0645465806285828
somebody,compound_anchor,True,C:some,full,item,none,jaccard,fixed_total,154,25,41,15,20000,0.7757050657521307,0.0002,9.999249934368202e-05,0.00024998750062496874,0.8378756421065303,0.9028234942231742,0.9526585377480897,0.45134691345854333,0.0,0.0,4.999750012499375e-05,0.837451807937605,0.9093166469359979,0.9628555706001848,0.3243581522935874,1.0,0.0,1.0,-0.07492502160962611,-0.006499802726408654,0.06482287042431063
someone,compound_anchor,True,C:some,full,item,none,jaccard,fixed_total,154,25,41,15,20000,0.7757050657521307,0.00015,8.659820992663834e-05,0.000199990000499975,0.8383369114114387,0.9027905152245703,0.9522045774589979,0.4515126840678622,0.0,0.0,4.999750012499375e-05,0.8385669795109789,0.9095336728748017,0.9632665596207342,0.3241923816842685,1.0,0.0,1.0,-0.07560246051572657,-0.006577152996660729,0.06394804495377776
something,compound_anchor,True,C:some,full,item,none,jaccard,fixed_total,154,27,41,15,20000,0.7901232554010195,0.00105,0.00022901418596861793,0.0010999450027498626,0.833414803701904,0.8982584277354692,0.9478853603091726,0.4746465036050526,0.0,0.0,4.999750012499375e-05,0.8342145256640914,0.905606212092757,0.9600865104268403,0.31547675179596685,1.0,0.0,1.0,-0.0767001786088614,-0.007669871080748847,0.06359906791502282
somewhere,compound_anchor,True,C:some,full,item,none,jaccard,fixed_total,154,19,41,15,20000,0.8650968604783404,0.04525,0.0014697720525626839,0.045297735113244336,0.855165730404628,0.9183176327397616,0.9650037329564493,0.5701490339725636,0.0,0.0,4.999750012499375e-05,0.8507702316393131,0.9228488984214737,0.9756807763849413,0.2949478265057769,1.0,0.0,1.0,-0.07127133877295642,-0.0045863995764670595,0.06613145769774074
each_other,target,False,reciprocal,full,item,none,jaccard,fixed_total,154,22,41,16,20000,0.7088579692854637,0.0,0.0,4.999750012499375e-05,0.8466762852461576,0.9104204326758796,0.9593017167208027,0.6690820933080995,0.0,0.0,4.999750012499375e-05,0.8444093624051743,0.9164432077625059,0.9685844601975081,0.039775875977364206,0.9006,0.0021157045659284555,0.9006049697515124,-0.07424786325062722,-0.005577705159948487,0.064824243977602
one_another,target,False,reciprocal,full,item,none,jaccard,fixed_total,154,24,41,16,20000,0.7228114730155732,0.0,0.0,4.999750012499375e-05,0.8414545174245569,0.9053554654748703,0.9536397936180087,0.6772670296559096,0.0,0.0,4.999750012499375e-05,0.8415356254826719,0.9119451997699018,0.9658721719801843,0.04554444335966368,0.92855,0.0018213760582420303,0.9285535723213839,-0.0754941986838304,-0.006732072458959293,0.06372630418353965
he,pronoun_anchor,True,P:he,full,item,none,jaccard,fixed_total,154,21,40,16,20000,0.5636031979318771,0.0,0.0,4.999750012499375e-05,0.8475549069320387,0.9124221234092864,0.9604837817516471,0.8092856407451141,0.00225,0.00033504102379317853,0.0022998850057497125,0.8464389136380053,0.918508456954291,0.9713827372160271,-0.24568244281323703,0.0,0.0,4.999750012499375e-05,-0.07281111537789622,-0.005709182197423612,0.06455502819049883
him,pronoun_anchor,True,P:he,full,item,none,jaccard,fixed_total,154,27,40,16,20000,0.5280908865712828,0.0,0.0,4.999750012499375e-05,0.8334071193506281,0.8976743154739293,0.94745694708019,0.8057506137155528,0.00455,0.0004758951552705074,0.004599770011499425,0.8334037366164936,0.9053386134230659,0.9598128550342837,-0.27765972714427,0.0,0.0,4.999750012499375e-05,-0.07691353802224181,-0.007748031889965978,0.061674220590006816
