pool,holdout,drop,metric,reference,n_controls,controls_correct,p_min,p_max,c_min,c_max,each_other_delta,each_other_within_pronoun_range,each_other_within_compound_range,each_other_between_control_ranges,one_another_delta,one_another_within_pronoun_range,one_another_within_compound_range,one_another_between_control_ranges,each_other_reference_percentile,one_another_reference_percentile
nonlocative,family,synt,idf_jaccard,within_block,53,52,-0.2719897703989485,0.0297437628487705,0.1364821076006436,0.2150263781734966,0.0462763800154139,False,False,True,0.0657716729771099,False,False,True,0.85045,0.95775
nonlocative,family,synt,jaccard,fixed_total,53,52,-0.3673868484644346,0.0044985704761633,0.1952774546214571,0.3239370730204214,0.058514497194791,False,False,True,0.0687968577697857,False,False,True,0.94035,0.96305
nonlocative,family,synt,jaccard,within_block,53,52,-0.3673868484644346,0.0044985704761633,0.1952774546214571,0.3239370730204214,0.058514497194791,False,False,True,0.0687968577697857,False,False,True,0.9109,0.94605
nonlocative,item,morph,dice,fixed_total,53,53,-0.254031113135732,-0.0858582591909149,0.2340944243454708,0.3519654226813975,-0.0434876888794185,False,False,True,-0.0434876888794185,False,False,True,0.26475,0.26665
nonlocative,item,morph,dice,within_block,53,53,-0.254031113135732,-0.0858582591909149,0.2340944243454708,0.3519654226813975,-0.0434876888794185,False,False,True,-0.0434876888794185,False,False,True,0.2749,0.2803
nonlocative,item,morph,hamming,fixed_total,53,53,-0.1237827715355804,-0.021629213483146,0.1208301153491615,0.179725454047186,-0.0126747053987393,False,False,True,-0.0126747053987393,False,False,True,0.280525,0.2826
nonlocative,item,morph,hamming,within_block,53,53,-0.1237827715355804,-0.021629213483146,0.1208301153491615,0.179725454047186,-0.0126747053987393,False,False,True,-0.0126747053987393,False,False,True,0.28595,0.29015
nonlocative,item,morph,idf_jaccard,fixed_total,53,53,-0.2294785761616411,-0.0347722491300143,0.2731501081784721,0.3922563906789817,-0.0202485806203879,False,False,True,-0.0202485806203879,False,False,True,0.1681,0.16835
nonlocative,item,morph,idf_jaccard,within_block,53,53,-0.2294785761616411,-0.0347722491300143,0.2731501081784721,0.3922563906789817,-0.0202485806203879,False,False,True,-0.0202485806203879,False,False,True,0.11565,0.11645
nonlocative,item,morph,jaccard,fixed_total,53,53,-0.2528668127447337,-0.0681771045429747,0.2482208090655628,0.3743622086361753,-0.0444737395436665,False,False,True,-0.0444737395436665,False,False,True,0.153,0.15095
nonlocative,item,morph,jaccard,within_block,53,53,-0.2528668127447337,-0.0681771045429747,0.2482208090655628,0.3743622086361753,-0.0444737395436665,False,False,True,-0.0444737395436665,False,False,True,0.15775,0.16345
nonlocative,item,none,dice,fixed_total,53,53,-0.3166902510361253,-0.0415518613077239,0.2973241556647007,0.3901415981954156,0.0822493110588769,False,False,True,0.0913711221423614,False,False,True,0.9291,0.9502
nonlocative,item,none,dice,within_block,53,53,-0.3166902510361253,-0.0415518613077239,0.2973241556647007,0.3901415981954156,0.0822493110588769,False,False,True,0.0913711221423614,False,False,True,0.9318,0.95
nonlocative,item,none,hamming,fixed_total,53,52,-0.1117424242424242,0.0034632034632033,0.1241973104500821,0.1558729518818211,0.0384331116038432,False,False,True,0.0427621159328476,False,False,True,0.8962,0.9273
nonlocative,item,none,hamming,within_block,53,52,-0.1117424242424242,0.0034632034632033,0.1241973104500821,0.1558729518818211,0.0384331116038432,False,False,True,0.0427621159328476,False,False,True,0.899025,0.927125
