lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
yours_sing,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.4367766714652623,0.7515746211775024,-0.3147979497122401,0.3147979497122401
your_plur,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.6767917021526089,0.7975999909209603,-0.12080828876835148,0.12080828876835148
yours_plur,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.4367766714652623,0.7515746211775024,-0.3147979497122401,0.3147979497122401
yourself,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.47333100626206637,0.8166577073608956,-0.34332670109882923,0.34332670109882923
yourselves,pronoun_anchor,P:you,True,full,item,morph,equal_block_total,89,40,16,0.47240167334963734,0.8308568033218515,-0.3584551299722142,0.3584551299722142
anybody,compound_anchor,C:any,True,full,family,morph,equal_block_total,89,41,12,0.8061223008958084,0.5181445740778599,0.28797772681794853,0.28797772681794853
anyone,compound_anchor,C:any,True,full,family,morph,equal_block_total,89,41,12,0.8061223008958084,0.5181445740778599,0.28797772681794853,0.28797772681794853
anything,compound_anchor,C:any,True,full,family,morph,equal_block_total,89,41,12,0.8136502702486016,0.5167417152795022,0.2969085549690994,0.2969085549690994
anywhere,compound_anchor,C:any,True,full,family,morph,equal_block_total,89,41,12,0.868610297015012,0.5950651954323809,0.2735451015826311,0.2735451015826311
everybody,compound_anchor,C:every,True,full,family,morph,equal_block_total,89,41,12,0.7475960416733383,0.5568142090377664,0.1907818326355719,0.1907818326355719
everyone,compound_anchor,C:every,True,full,family,morph,equal_block_total,89,41,12,0.7475960416733383,0.5568142090377664,0.1907818326355719,0.1907818326355719
everything,compound_anchor,C:every,True,full,family,morph,equal_block_total,89,41,12,0.7752081969124603,0.5139097441484678,0.26129845276399255,0.26129845276399255
everywhere,compound_anchor,C:every,True,full,family,morph,equal_block_total,89,41,12,0.8338902688946301,0.5692580297105326,0.2646322391840975,0.2646322391840975
