lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
ours,pronoun_anchor,P:we,True,full,family,none,original_equal_feature,154,36,16,0.4786694378007214,0.7363382052546872,-0.2576687674539658,0.2576687674539658
ourselves,pronoun_anchor,P:we,True,full,item,none,original_equal_feature,154,40,16,0.5419898409601941,0.7806054719549765,-0.2386156309947824,0.2386156309947824
ourselves,pronoun_anchor,P:we,True,full,family,none,original_equal_feature,154,36,16,0.542416479204817,0.7806054719549765,-0.2381889927501596,0.2381889927501596
you_pron_sing,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.5319928755927801,0.7762936940911996,-0.2443008184984195,0.2443008184984195
you_pron_sing,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.54848309427884,0.7762936940911996,-0.2278105998123596,0.2278105998123596
you_pron_plur,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.5346881530272293,0.7941867151051133,-0.259498562077884,0.259498562077884
you_pron_plur,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.5553135879111757,0.7941867151051133,-0.2388731271939376,0.2388731271939376
your_sing,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.5951276386493799,0.8358343497046228,-0.2407067110552428,0.2407067110552428
your_sing,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.6192616196801294,0.8358343497046228,-0.2165727300244934,0.2165727300244934
yours_sing,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.4861536961119407,0.7413908896012117,-0.255237193489271,0.255237193489271
yours_sing,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.5073646965458557,0.7413908896012117,-0.234026193055356,0.234026193055356
your_plur,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.5951276386493799,0.8358343497046228,-0.2407067110552428,0.2407067110552428
your_plur,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.6192616196801294,0.8358343497046228,-0.2165727300244934,0.2165727300244934
yours_plur,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.4883090253831584,0.7222448497108598,-0.2339358243277013,0.2339358243277013
yours_plur,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.5119090013900536,0.7222448497108598,-0.2103358483208062,0.2103358483208062
yourself,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.5348508874870339,0.7622075652176948,-0.2273566777306609,0.2273566777306609
yourself,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.547654756312489,0.7622075652176948,-0.2145528089052057,0.2145528089052057
yourselves,pronoun_anchor,P:you,True,full,item,none,original_equal_feature,154,40,16,0.5314733109040033,0.7772152900318433,-0.24574197912784,0.24574197912784
yourselves,pronoun_anchor,P:you,True,full,family,none,original_equal_feature,154,33,16,0.5489760791858,0.7772152900318433,-0.2282392108460432,0.2282392108460432
anybody,compound_anchor,C:any,True,full,item,morph,original_equal_feature,89,41,15,0.7447352336061434,0.4542870911754856,0.2904481424306577,0.2904481424306577
anybody,compound_anchor,C:any,True,full,family,morph,original_equal_feature,89,41,12,0.7447352336061434,0.5034144195249125,0.2413208140812308,0.2413208140812308
anyone,compound_anchor,C:any,True,full,item,morph,original_equal_feature,89,41,15,0.7447352336061434,0.4542870911754856,0.2904481424306577,0.2904481424306577
anyone,compound_anchor,C:any,True,full,family,morph,original_equal_feature,89,41,12,0.7447352336061434,0.5034144195249125,0.2413208140812308,0.2413208140812308
anything,compound_anchor,C:any,True,full,item,morph,original_equal_feature,89,41,15,0.7464428269697866,0.4708572270641236,0.2755855999056629,0.2755855999056629
anything,compound_anchor,C:any,True,full,family,morph,original_equal_feature,89,41,12,0.7464428269697866,0.500964696223317,0.2454781307464696,0.2454781307464696
anywhere,compound_anchor,C:any,True,full,item,morph,original_equal_feature,89,41,15,0.8162890313059344,0.5510910214223557,0.2651980098835788,0.2651980098835788
anywhere,compound_anchor,C:any,True,full,family,morph,original_equal_feature,89,41,12,0.8162890313059344,0.5834791613933293,0.2328098699126051,0.2328098699126051
everybody,compound_anchor,C:every,True,full,item,morph,original_equal_feature,89,41,15,0.6706384188852103,0.484139185033234,0.1864992338519762,0.1864992338519762
everybody,compound_anchor,C:every,True,full,family,morph,original_equal_feature,89,41,12,0.6706384188852103,0.5382610092061566,0.1323774096790536,0.1323774096790536
everyone,compound_anchor,C:every,True,full,item,morph,original_equal_feature,89,41,15,0.6706384188852103,0.484139185033234,0.1864992338519762,0.1864992338519762
everyone,compound_anchor,C:every,True,full,family,morph,original_equal_feature,89,41,12,0.6706384188852103,0.5382610092061566,0.1323774096790536,0.1323774096790536
everything,compound_anchor,C:every,True,full,item,morph,original_equal_feature,89,41,15,0.7046289444082938,0.4606822183981991,0.2439467260100947,0.2439467260100947
everything,compound_anchor,C:every,True,full,family,morph,original_equal_feature,89,41,12,0.7046289444082938,0.4993875715325473,0.2052413728757464,0.2052413728757464
everywhere,compound_anchor,C:every,True,full,item,morph,original_equal_feature,89,41,15,0.7829594223278945,0.5410467476884269,0.2419126746394676,0.2419126746394676
everywhere,compound_anchor,C:every,True,full,family,morph,original_equal_feature,89,41,12,0.7829594223278945,0.5612553842126556,0.2217040381152388,0.2217040381152388
nobody,compound_anchor,C:no,True,full,item,morph,original_equal_feature,89,41,15,0.729016466588784,0.4207270040193579,0.3082894625694261,0.3082894625694261
nobody,compound_anchor,C:no,True,full,family,morph,original_equal_feature,89,41,12,0.729016466588784,0.4634728575883,0.265543609000484,0.265543609000484
no_one,compound_anchor,C:no,True,full,item,morph,original_equal_feature,89,41,15,0.729016466588784,0.4207270040193579,0.3082894625694261,0.3082894625694261
no_one,compound_anchor,C:no,True,full,family,morph,original_equal_feature,89,41,12,0.729016466588784,0.4634728575883,0.265543609000484,0.265543609000484
nothing,compound_anchor,C:no,True,full,item,morph,original_equal_feature,89,41,15,0.7547563739160308,0.4484471737493614,0.3063092001666694,0.3063092001666694
nothing,compound_anchor,C:no,True,full,family,morph,original_equal_feature,89,41,12,0.7547563739160308,0.4804307620584966,0.2743256118575342,0.2743256118575342
nowhere,compound_anchor,C:no,True,full,item,morph,original_equal_feature,89,41,15,0.8198098162340919,0.5425104038904558,0.2772994123436361,0.2772994123436361
nowhere,compound_anchor,C:no,True,full,family,morph,original_equal_feature,89,41,12,0.8198098162340919,0.5628815946066595,0.2569282216274323,0.2569282216274323
somebody,compound_anchor,C:some,True,full,item,morph,original_equal_feature,89,41,15,0.7334660380689588,0.4432026843720997,0.2902633536968591,0.2902633536968591
somebody,compound_anchor,C:some,True,full,family,morph,original_equal_feature,89,41,12,0.7334660380689588,0.4791241284119845,0.2543419096569743,0.2543419096569743
someone,compound_anchor,C:some,True,full,item,morph,original_equal_feature,89,41,15,0.7334660380689588,0.4432026843720997,0.2902633536968591,0.2902633536968591
