"lemma","w","mean_log_loss"
"each_other",0.729,0.356852058197563
"each_other",0.73,0.356917334508485
"each_other",0.731,0.35698297308453
"each_other",0.732,0.357048975148909
"each_other",0.733,0.357115341937139
"each_other",0.734,0.357182074697193
"each_other",0.735,0.357249174689645
"each_other",0.736,0.357316643187823
"each_other",0.737,0.357384481477966
"each_other",0.738,0.357452690859378
"each_other",0.739,0.357521272644588
"each_other",0.74,0.357590228159512
"each_other",0.741,0.357659558743619
"each_other",0.742,0.357729265750102
"each_other",0.743,0.35779935054604
"each_other",0.744,0.357869814512584
"each_other",0.745,0.357940659045122
"each_other",0.746,0.358011885553468
"each_other",0.747,0.358083495462042
"each_other",0.748,0.358155490210053
"each_other",0.749,0.358227871251697
"each_other",0.75,0.358300640056341
"each_other",0.751,0.358373798108726
"each_other",0.752,0.358447346909165
"each_other",0.753,0.358521287973746
"each_other",0.754,0.358595622834541
"each_other",0.755,0.358670353039816
"each_other",0.756,0.358745480154246
"each_other",0.757,0.358821005759135
"each_other",0.758,0.358896931452639
"each_other",0.759,0.35897325884999
"each_other",0.76,0.359049989583732
"each_other",0.761,0.359127125303955
"each_other",0.762,0.359204667678532
"each_other",0.763,0.359282618393367
"each_other",0.764,0.359360979152644
"each_other",0.765,0.359439751679076
"each_other",0.766,0.359518937714172
"each_other",0.767,0.359598539018492
"each_other",0.768,0.359678557371921
"each_other",0.769,0.359758994573941
"each_other",0.77,0.359839852443907
"each_other",0.771,0.359921132821338
"each_other",0.772,0.3600028375662
"each_other",0.773,0.360084968559206
"each_other",0.774,0.360167527702115
"each_other",0.775,0.360250516918038
"each_other",0.776,0.360333938151756
"each_other",0.777,0.360417793370035
"each_other",0.778,0.360502084561953
"each_other",0.779,0.360586813739233
"each_other",0.78,0.360671982936579
"each_other",0.781,0.360757594212028
"each_other",0.782,0.360843649647296
"each_other",0.783,0.360930151348143
"each_other",0.784,0.361017101444736
"each_other",0.785,0.361104502092028
"each_other",0.786,0.361192355470136
"each_other",0.787,0.361280663784737
"each_other",0.788,0.361369429267462
"each_other",0.789,0.361458654176303
"each_other",0.79,0.361548340796033
"each_other",0.791,0.361638491438624
"each_other",0.792,0.361729108443685
"each_other",0.793,0.361820194178901
"each_other",0.794,0.361911751040488
"each_other",0.795,0.36200378145365
"each_other",0.796,0.362096287873055
"each_other",0.797,0.362189272783315
"each_other",0.798,0.362282738699477
"each_other",0.799,0.362376688167525
"each_other",0.8,0.362471123764898
"each_other",0.801,0.362566048101011
"each_other",0.802,0.362661463817794
"each_other",0.803,0.362757373590241
"each_other",0.804,0.362853780126969
"each_other",0.805,0.362950686170795
"each_other",0.806,0.363048094499318
"each_other",0.807,0.363146007925524
"each_other",0.808,0.363244429298397
"each_other",0.809,0.363343361503547
"each_other",0.81,0.363442807463852
"each_other",0.811,0.363542770140117
"each_other",0.812,0.363643252531743
"each_other",0.813,0.363744257677419
"each_other",0.814,0.363845788655824
"each_other",0.815,0.363947848586347
"each_other",0.816,0.364050440629828
"each_other",0.817,0.364153567989313
"each_other",0.818,0.364257233910826
